"","Pyura_bouvetensis","Benthic_fish","Dropstones","Ascidians","Malacostraca","Sponges","Notocrangon","Actiniarians","Clumps","Soft_corals","Ophiuroids"
"TIMER_2019_03_06_at_05_01_37_IMG_0055",1,0,0,0,0,0,1,0,2,2,2
"TIMER_2019_03_06_at_05_08_44_IMG_0081",0,1,0,0,0,0,2,0,1,0,1
"TIMER_2019_03_06_at_05_13_18_IMG_0104",1,0,1,0,0,0,2,2,1,0,0
"TIMER_2019_03_06_at_05_17_46_IMG_0128",1,0,1,1,0,0,2,2,0,2,0
"TIMER_2019_03_06_at_05_18_25_IMG_0133",1,1,0,0,1,0,1,0,0,1,1
"TIMER_2019_03_06_at_05_19_15_IMG_0138",0,0,0,0,0,0,1,1,0,1,0
"TIMER_2019_03_06_at_05_24_29_IMG_0167",1,0,0,0,0,0,0,1,0,2,1
"TIMER_2019_03_06_at_05_28_23_IMG_0188",1,0,0,1,1,0,1,1,1,1,2
"TIMER_2019_03_06_at_05_28_47_IMG_0190",1,0,0,1,1,0,1,1,1,1,0
"TIMER_2019_03_06_at_05_29_51_IMG_0196",0,0,0,1,1,0,2,1,1,0,1
"TIMER_2019_03_06_at_05_35_15_IMG_0225",0,0,1,0,0,0,2,1,0,2,0
"TIMER_2019_03_06_at_05_40_47_IMG_0253",1,0,0,1,0,0,2,0,2,0,1
"TIMER_2019_03_06_at_05_42_16_IMG_0261",1,0,0,0,0,0,2,1,1,2,1
"TIMER_2019_03_06_at_05_48_59_IMG_0003",1,0,0,1,0,0,2,0,1,1,2
"TIMER_2019_03_06_at_05_51_21_IMG_0010",1,0,0,0,0,0,1,0,1,0,1
"TIMER_2019_03_06_at_05_55_36_IMG_0003",0,1,0,1,0,0,2,2,1,0,0
"TIMER_2019_03_06_at_06_00_10_IMG_0021",0,0,0,0,0,0,2,2,2,0,1
"TIMER_2019_03_06_at_06_00_41_IMG_0024",0,1,0,0,0,0,0,0,1,1,1
"TIMER_2019_03_06_at_06_01_01_IMG_0026",0,1,0,1,0,0,2,2,0,1,1
"TIMER_2019_03_06_at_06_01_11_IMG_0027",0,1,0,0,0,0,1,1,0,0,1
"TIMER_2019_03_06_at_06_03_59_IMG_0044",0,1,0,1,0,0,2,0,1,2,0
"TIMER_2019_03_06_at_06_09_40_IMG_0078",0,1,0,0,0,0,1,1,1,1,0
"TIMER_2019_03_06_at_06_15_37_IMG_0112",1,1,1,0,1,1,0,2,1,1,2
"TIMER_2019_03_06_at_06_17_04_IMG_0121",1,1,1,0,0,0,0,2,0,1,1
"TIMER_2019_03_06_at_06_17_58_IMG_0127",0,1,0,1,0,0,1,1,0,1,1
"TIMER_2019_03_06_at_06_21_00_IMG_0144",1,0,1,0,1,1,1,0,1,0,1
"TIMER_2019_03_06_at_06_22_32_IMG_0154",1,0,0,0,1,0,0,0,0,2,1
"TIMER_2019_03_06_at_06_22_53_IMG_0156",0,0,1,1,1,1,0,1,1,1,1
"TIMER_2019_03_06_at_06_25_44_IMG_0172",1,0,0,0,0,0,2,1,0,1,1
"TIMER_2019_03_06_at_06_30_54_IMG_0204",0,1,0,1,1,0,1,0,1,0,2
"TIMER_2019_03_06_at_06_35_43_IMG_0232",0,1,0,1,0,0,0,1,0,1,2
"TIMER_2019_03_06_at_06_41_39_IMG_0268",0,1,0,0,0,0,2,0,0,0,1
"TIMER_2019_03_06_at_06_46_31_IMG_0302",1,1,0,0,1,0,2,2,1,1,1
"TIMER_2019_03_06_at_06_51_52_IMG_0336",0,1,0,1,0,0,0,1,1,1,2
"TIMER_2019_03_06_at_06_55_34_IMG_0358",1,0,0,0,1,0,1,2,0,0,2
"TIMER_2019_03_06_at_06_56_05_IMG_0361",0,0,0,0,1,1,1,1,0,2,1
"TIMER_2019_03_06_at_06_56_27_IMG_0363",0,1,1,1,1,1,1,2,2,1,2
"TIMER_2019_03_06_at_06_59_27_IMG_0383",1,0,0,1,0,0,1,1,2,1,2
"TIMER_2019_03_06_at_07_05_02_IMG_0420",1,0,0,0,0,0,2,2,2,1,1
"TIMER_2019_03_06_at_07_10_12_IMG_0456",0,0,0,0,1,0,0,1,1,1,0
"TIMER_2019_03_06_at_07_13_50_IMG_0480",0,0,0,1,1,0,0,1,2,1,2
"TIMER_2019_03_06_at_07_19_21_IMG_0514",0,0,1,1,1,1,0,0,2,1,2
"TIMER_2019_03_06_at_07_22_20_IMG_0531",0,0,0,0,0,0,1,1,2,1,2
"TIMER_2019_03_06_at_07_30_58_IMG_0584",1,1,0,1,0,0,1,1,2,0,1
"TIMER_2019_03_06_at_07_32_10_IMG_0591",0,0,1,1,0,0,1,2,2,1,2
"TIMER_2019_03_06_at_07_32_20_IMG_0592",0,0,1,1,1,1,1,1,1,2,2
"TIMER_2019_03_06_at_07_34_08_IMG_0602",0,0,1,1,1,1,0,2,1,2,1
"TIMER_2019_03_06_at_07_34_51_IMG_0607",1,0,1,1,1,1,1,2,1,2,2
"TIMER_2019_03_06_at_07_35_12_IMG_0609",1,0,1,0,0,0,1,1,1,1,2
"TIMER_2019_03_06_at_07_44_29_IMG_0662",1,1,1,1,0,1,1,2,1,2,0
"TIMER_2019_03_06_at_07_50_24_IMG_0697",0,1,1,0,1,0,0,0,2,0,2
"TIMER_2019_03_06_at_07_53_57_IMG_0717",0,1,1,0,1,1,1,1,0,2,1
"TIMER_2019_03_06_at_08_06_11_IMG_0790",1,0,1,1,1,1,1,0,1,2,2
"TIMER_2019_03_06_at_08_08_20_IMG_0804",1,0,0,0,0,1,2,1,1,1,2
"TIMER_2019_03_06_at_08_13_19_IMG_0834",1,0,0,0,0,0,1,0,0,0,2
"TIMER_2019_03_06_at_08_17_13_IMG_0857",1,1,0,0,1,1,1,1,2,2,1
"TIMER_2019_03_06_at_08_23_13_IMG_0003",1,0,1,0,0,0,1,0,0,0,1
"TIMER_2019_03_06_at_08_32_38_IMG_0011",1,1,0,0,1,0,1,0,0,1,1
"TIMER_2019_03_06_at_08_33_11_IMG_0014",0,0,1,0,0,0,1,1,1,1,1
"TIMER_2019_03_06_at_08_46_51_IMG_0020",0,0,0,0,1,0,2,1,2,0,1
"TIMER_2019_03_06_at_08_58_31_IMG_0089",1,1,0,0,1,0,1,1,2,1,1
